,player_id,player_name,club,birthday,age,foot,squad_num,total_xG,total_xA,total_xG+xA,goals,xG+xA/90,transfer_value(USD),total_minutes_played
0,24256.0,Emmanuel Gigliotti,Squad Club Atlético Independiente,"May 20, 1987 (31)",31,right,9.0,6.239999771118164,2.84,9.08,12.0,0.8356113023620437,3.43,977.9666666666667
1,488.0,Lisandro López,Squad Racing Club,"Mar 2, 1983 (35)",35,right,15.0,5.260000228881836,1.27,6.53,9.0,0.626902289859195,2.01,937.4666666666666
2,16081.0,Luis Rodríguez,Squad Club Atlético Tucumán,"Jan 1, 1985 (33)",33,right,7.0,5.010000228881836,1.55,6.56,7.0,0.7131296050247615,1.71,827.9
3,101.0,Darío Cvitanich,Squad Club Atlético Banfield,"May 16, 1984 (34)",34,right,20.0,4.730000019073486,1.17,5.9,5.0,0.5479404935936022,1.71,969.0833333333334
4,93853.0,Franco Soldano,Squad Club Atlético Unión (Santa Fe),"Sep 14, 1994 (24)",24,right,27.0,4.25,2.27,6.52,2.0,0.5534021785259584,5.71,1060.35
5,17217.0,Jonatan Cristaldo,Squad Racing Club,"Mar 5, 1989 (29)",29,right,9.0,4.21999979019165,1.16,5.38,3.0,0.6188782140042178,1.37,782.3833333333333
6,20195.0,Sebastián Ribas,Squad Club Atlético Lanús,"Mar 11, 1988 (30)",30,right,37.0,3.880000114440918,0.77,4.65,3.0,0.44916285060103034,1.71,931.7333333333333
7,15113.0,Claudio Bieler,Squad Club Atlético San Martín (Tucumán),"Mar 1, 1984 (34)",34,right,9.0,3.869999885559082,0.98,4.85,3.0,0.37339074150639423,0.57,1169.0166666666667
8,30266.0,Cristian Chávez,Squad Club Atlético Aldosivi,"Jun 4, 1987 (31)",31,right,11.0,3.869999885559082,1.12,4.99,4.0,0.4498797916388407,0.57,998.2666666666667
9,98292.0,Facundo Barceló,Squad Club Atlético Patronato de la Juventud Católica,"Mar 31, 1993 (25)",25,right,31.0,3.859999895095825,1.42,5.28,6.0,0.7934325866147212,0.57,598.9166666666666
10,135386.0,Leonardo Sequeira,Squad Club Atlético Belgrano,"Apr 26, 1995 (23)",23,right,26.0,3.7899999618530273,0.36,4.15,2.0,0.41004153477393734,1.71,910.8833333333334
11,3148.0,Santiago Silva,Squad Club de Gimnasia y Esgrima La Plata,"Dec 9, 1980 (37)",37,right,9.0,3.759999990463257,2.25,6.01,4.0,0.5046179680940386,0.34,1071.9
12,31939.0,Santiago García,Squad Club Deportivo Godoy Cruz Antonio Tomba,"Sep 14, 1990 (28)",28,right,18.0,3.740000009536743,1.26,5.0,3.0,0.44544899608994765,6.86,1010.2166666666667
13,39414.0,Fernando Zampedri,Squad Club Atlético Rosario Central,"Feb 14, 1988 (30)",30,right,20.0,3.609999895095825,2.29,5.9,4.0,0.6061182558404993,3.43,876.0666666666666
14,172565.0,Nicolás Reniero,Squad Club Atlético San Lorenzo de Almagro,"Mar 18, 1995 (23)",23,right,15.0,3.359999895095825,2.31,5.67,3.0,0.5816489361702128,2.29,877.3333333333333
15,47913.0,Javier Correa,Squad Club Atlético Colón,"Oct 23, 1992 (26)",26,right,11.0,3.0,0.37,3.37,3.0,0.34360484875948794,4.57,882.7
16,9146.0,Germán Herrera,Squad Club Atlético Rosario Central,"Jul 19, 1983 (35)",35,right,17.0,2.9600000381469727,2.39,5.35,2.0,1.311810380057213,0.34,367.05
17,114108.0,Nicolás Fernández,Squad Club Social y Deportivo Defensa y Justicia,"Feb 8, 1996 (22)",22,right,29.0,2.950000047683716,1.73,4.68,3.0,0.558830683501758,3.43,753.7166666666666
18,17266.0,Mauricio Sperduti,Squad Club Atlético Patronato de la Juventud Católica,"Feb 16, 1986 (32)",32,right,14.0,2.930000066757202,0.68,3.61,3.0,0.3311757810509149,0.57,981.05
19,193188.0,Gastón Togni,Squad Club Social y Deportivo Defensa y Justicia,"Sep 20, 1997 (21)",21,left,7.0,2.8299999237060547,0.73,3.56,2.0,0.3765719882468168,0.17,850.8333333333334
20,144.0,Carlos Tevez,Squad Club Atlético Boca Juniors,"Feb 5, 1984 (34)",34,right,32.0,2.819999933242798,1.73,4.55,3.0,0.6281959500920433,2.86,651.8666666666667
21,167990.0,Luís Leal,Squad Club Atlético Newell's Old Boys,"May 29, 1987 (31)",31,right,7.0,2.75,1.71,4.46,1.0,0.4763355155159115,1.37,842.6833333333333
22,203.0,Mariano Pavone,Squad Club Estudiantes de La Plata,"May 27, 1982 (36)",36,both,16.0,2.690000057220459,1.71,4.4,2.0,0.5614234068193096,0.46,705.35
23,36681.0,Víctor Figueroa,Squad Club Atlético Newell's Old Boys,"Sep 29, 1983 (35)",35,right,16.0,2.640000104904175,0.16,2.8,1.0,0.4066593152416556,0.23,619.6833333333334
24,121341.0,Héctor Fértoli,Squad Club Atlético Newell's Old Boys,"Dec 3, 1994 (24)",24,right,26.0,2.509999990463257,0.87,3.38,3.0,0.35573399859671007,0.8,855.1333333333333
25,150346.0,Pablo Alvarenga,Squad Club Atlético San Martín (SJ),"Jun 22, 1988 (30)",30,-,33.0,2.450000047683716,0.8,3.25,1.0,0.5578335081529512,,524.35
26,55210.0,Nicolás Blandi,Squad Club Atlético San Lorenzo de Almagro,"Jan 13, 1990 (28)",28,right,9.0,2.4200000762939453,0.98,3.4,4.0,0.7235467980295567,6.29,422.91666666666663
27,185745.0,Lucas Robertone,Squad Club Atlético Vélez Sarsfield,"Mar 18, 1997 (21)",21,right,16.0,2.4000000953674316,1.1,3.5,2.0,0.3573454339194555,3.43,881.5
28,87323.0,Ricardo Centurión,Squad Racing Club,"Jan 19, 1993 (25)",25,right,10.0,2.380000114440918,0.74,3.12,2.0,0.4623363793529266,5.71,607.35
29,66503.0,Augusto Solari,Squad Racing Club,"Jan 3, 1992 (26)",26,right,18.0,2.369999885559082,1.77,4.14,3.0,0.4814264487369984,4.0,773.95
30,618.0,Mauro Zárate,Squad Club Atlético Boca Juniors,"Mar 18, 1987 (31)",31,right,19.0,2.359999895095825,0.5,2.86,1.0,0.44007522653445025,2.29,584.9000000000001
